Date/Time (EST),2m Temperature (hr. avg) (F)
2011-04-01 1:00:00,43.5
2011-04-01 2:00:00,43.5
2011-04-01 3:00:00,43.5
2011-04-01 4:00:00,43.3
2011-04-01 5:00:00,42.8
2011-04-01 6:00:00,41
2011-04-01 7:00:00,40.1
2011-04-01 8:00:00,40.8
2011-04-01 9:00:00,43
2011-04-01 10:00:00,44.8
2011-04-01 11:00:00,46.2
2011-04-01 12:00:00,47.1
2011-04-01 13:00:00,47.8
2011-04-01 14:00:00,49.6
2011-04-01 15:00:00,51.3
2011-04-01 16:00:00,52.3
2011-04-01 17:00:00,51.1
2011-04-01 18:00:00,51.3
2011-04-01 19:00:00,49.6
2011-04-01 20:00:00,46
2011-04-01 21:00:00,43.7
2011-04-01 22:00:00,43.5
2011-04-01 23:00:00,43.2
2011-04-02 0:00:00,41.2
2011-04-02 1:00:00,42.6
2011-04-02 2:00:00,44.1
2011-04-02 3:00:00,43.9
2011-04-02 4:00:00,41.9
2011-04-02 5:00:00,40.6
2011-04-02 6:00:00,42.1
2011-04-02 7:00:00,42.3
2011-04-02 8:00:00,45.3
2011-04-02 9:00:00,49.3
2011-04-02 10:00:00,53.6
2011-04-02 11:00:00,56.3
2011-04-02 12:00:00,57.6
2011-04-02 13:00:00,59.2
2011-04-02 14:00:00,61.2
2011-04-02 15:00:00,60.8
2011-04-02 16:00:00,61.7
2011-04-02 17:00:00,61.5
2011-04-02 18:00:00,59.7
2011-04-02 19:00:00,57.4
2011-04-02 20:00:00,54.9
2011-04-02 21:00:00,52.3
2011-04-02 22:00:00,49.6
2011-04-02 23:00:00,46.9
2011-04-03 0:00:00,44.6
2011-04-03 1:00:00,41.9
2011-04-03 2:00:00,39.9
2011-04-03 3:00:00,38.7
2011-04-03 4:00:00,36.9
2011-04-03 5:00:00,36.3
2011-04-03 6:00:00,36.3
2011-04-03 7:00:00,36.1
2011-04-03 8:00:00,43.7
2011-04-03 9:00:00,53.2
2011-04-03 10:00:00,57.6
2011-04-03 11:00:00,60.4
2011-04-03 12:00:00,63.3
2011-04-03 13:00:00,64.9
2011-04-03 14:00:00,66.9
2011-04-03 15:00:00,68.5
2011-04-03 16:00:00,69.6
2011-04-03 17:00:00,70.3
2011-04-03 18:00:00,70.2
2011-04-03 19:00:00,66.9
2011-04-03 20:00:00,62.6
2011-04-03 21:00:00,61.5
2011-04-03 22:00:00,60.4
2011-04-03 23:00:00,58.6
2011-04-04 0:00:00,58.6
2011-04-04 1:00:00,58.8
2011-04-04 2:00:00,58.3
2011-04-04 3:00:00,57.9
2011-04-04 4:00:00,57.9
2011-04-04 5:00:00,57.4
2011-04-04 6:00:00,57.6
2011-04-04 7:00:00,57.9
2011-04-04 8:00:00,60.4
2011-04-04 9:00:00,65.3
2011-04-04 10:00:00,70.2
2011-04-04 11:00:00,74.5
2011-04-04 12:00:00,77.9
2011-04-04 13:00:00,80.8
2011-04-04 14:00:00,82.8
2011-04-04 15:00:00,83.3
2011-04-04 16:00:00,83.3
2011-04-04 17:00:00,82.8
2011-04-04 18:00:00,81.5
2011-04-04 19:00:00,79.3
2011-04-04 20:00:00,77.4
2011-04-04 21:00:00,74.8
2011-04-04 22:00:00,72.9
2011-04-04 23:00:00,71.4
2011-04-05 0:00:00,70.2
2011-04-05 1:00:00,69.1
2011-04-05 2:00:00,69.1
2011-04-05 3:00:00,70
2011-04-05 4:00:00,60.4
2011-04-05 5:00:00,60.3
2011-04-05 6:00:00,59.9
2011-04-05 7:00:00,60.4
2011-04-05 8:00:00,61.5
2011-04-05 9:00:00,52.9
2011-04-05 10:00:00,49.6
2011-04-05 11:00:00,51.4
2011-04-05 12:00:00,53.8
2011-04-05 13:00:00,56.1
2011-04-05 14:00:00,57.2
2011-04-05 15:00:00,58.1
2011-04-05 16:00:00,56.7
2011-04-05 17:00:00,56.8
2011-04-05 18:00:00,55.6
2011-04-05 19:00:00,54
2011-04-05 20:00:00,52.5
2011-04-05 21:00:00,51.4
2011-04-05 22:00:00,49.5
2011-04-05 23:00:00,47.7
2011-04-06 0:00:00,46.2
2011-04-06 1:00:00,44.8
2011-04-06 2:00:00,43.3
2011-04-06 3:00:00,41.4
2011-04-06 4:00:00,39.7
2011-04-06 5:00:00,38.3
2011-04-06 6:00:00,37.2
2011-04-06 7:00:00,37.2
2011-04-06 8:00:00,45.1
2011-04-06 9:00:00,51.3
2011-04-06 10:00:00,53.8
2011-04-06 11:00:00,56.1
2011-04-06 12:00:00,58.6
2011-04-06 13:00:00,61
2011-04-06 14:00:00,63.9
2011-04-06 15:00:00,65.5
